Title,Local Call Number,LC Call Number,Physical Availability
Cardinal Pietro Ottoboni (1667-1740) and the Vatican tomb of Pope Alexander VIII / Edward J. Olszewski,NB1803 .O47 2004 ,Q11 NB1803 .P612 vol. 252  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1803.O47 2004; (1 items out of 1 available)
Roman strigillated sarcophagi : art and social history / Janet Huskinson.,,NB1810 .H88 2015 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810 .H88 2015; (1 items out of 1 available)
"Life, death and representation : some new work on Roman sarcophagi / edited by Ja? Elsner and Janet Huskinson",,NB1810 .L47 2010 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810 .L47 2010; (1 items out of 1 available)
Living with myths : the imagery of Roman sarcophagi / Paul Zanker and Björn C. Ewald ; translated by Julia Slater.,NB133.5.S46 Z3613 2012 ,NB1810 .Z36 2012  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810 .Z36 2012; (1 items out of 1 available)
I sarcofagi paleocristiani di Marsiglia,NB1810.B65 ,NB1810 .B65 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.B65; (1 items out of 1 available)
Il commercio dei sarcofagi asiatici,,NB1810 .F4 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.F4; (1 items out of 1 available)
Jason et Médée sur les sarcophages d'époque impériale / Vassiliki Gaggadis-Robin,,NB1810 .G24 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.G24 1994; (1 items out of 1 available)
Il commercio dei sarcofagi attici,NB1810 .G586 ,NB1810 .G586 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.G586; (1 items out of 1 available)
Il sarcofago paleocristiano di Catervio nel Duomo di Tolentino,NB1810.I64 ,NB1810 .I64 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.I64; (1 items out of 1 available)
The iconography of the sarcophagus of Junius Bassus / Elizabeth Struthers Malbon,NB1810.M26 1990 ,NB1810 .M26 1990 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.M26 1990; (1 items out of 1 available)
I sarcofagi paleocristiani a porte di città,NB1810.S27 ,NB1810 .S27 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.S27; (1 items out of 1 available)
Der Basler Medeasarkophag; ein Meisterwerk spätantoninischer Kunst,NB1810.S38 ,NB1810 .S38 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.S38; (1 items out of 1 available)
Späte Endymion-Sarkophage; Methodisches zur Interpretation,NB1810.S5 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1810.S5; (1 items out of 1 available)
"Church brasses, British and continental, with some notes on incised stone slabs and indents",NB1840.B66 ,NB1840 .B66 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1840.B66; (1 items out of 1 available)
Monumental brasses. Rev. by John Page-Phillips,NB1840.M3 1969 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1840.M3 1969; (1 items out of 1 available)
"Alabaster tombs of the pre-reformation period in England, by Arthur Gardner",NB1842 .G37  and others,NB1842 .G37 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1842.G37; (1 items out of 1 available)
The brasses of Westminster Abbey [by] J. S. W. Wright,NB1842.W7 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1842.W7; (1 items out of 1 available)
Das Grabdenkmal Rudolfs von Schwaben : Monument der Propaganda und Paradigma der Gattung / von Berthold Hinz.,NB1844 .H564 1996 ,NB1844 .H56 1996  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1844 .H564 1996; (1 items out of 1 available)
Early gravestone art in Georgia and South Carolina / Diana Williams Combs,NB1856.G38C65 1986 ,NB1856.G38 C65 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1856.G38C65 1986; (1 items out of 1 available)
"Pennsylvania German tombstones; a study in folk art, by Preston A. Barba. Drawings by Eleanor Barba",NB1856.P4 B37 ,NB1856.P4 B37 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1856.P4B37; (1 items out of 1 available)
Medieval sculpture from Norwich Cathedral : catalogue / compiled by Alan Borg ... [et al.],NB471.N67 M43 1980 ,NB471.N67 M43 1980 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1860 .M421 1980; (1 items out of 1 available)
"""Sepulcra"" e ""Monumenta"" del Medioevo : studi sull'arte sepolcrale in Italia / Ingo Herklotz.",NB1875 .H47 1985 ,NB1875 H4717 1985  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1875 .H47 1985; (1 items out of 1 available)
"Death and the emperor : Roman imperial funerary monuments, from Augustus to Marcus Aurelius / Penelope J. E. Davies",,NB1875 .D38 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1875.D38 2000; (1 items out of 1 available)
The tombs of the Doges of Venice / Debra Pincus,,NB1875 .P55 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1875.P55 2000; (1 items out of 1 available)
Art & political expression in early China / Martin J. Powers,NB1880.C6P68 1991 ,NB1880.C6 P68 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1880.C6P68 1991; (1 items out of 1 available)
Sumptuous memories : studies in seventeenth-century Dutch tomb sculpture / Frits Scholten,NB1880.N4 S36 2003 ,NB1803.N4 S35 2003  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1880.N4S36 2003; (1 items out of 1 available)
The tombs of the Kalhora chiefs in Hyderabad / Siddique G. Memon,NB1880.P18 M456 1994  and others,NB1880.P18 M456 1994  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1880.P18M45 1994; (1 items out of 1 available)
"The Jew, the cathedral and the medieval city : Synagoga and Ecclesia in the thirteenth century / Nina Rowe",,NB1910 .R69 2011 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1910 .R69 2011; (1 items out of 1 available)
"African vodun : art, psychology, and power / Suzanne Preston Blier",,NB1910 .B57 1995 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1910.B57 1995; (1 items out of 1 available)
Medicine Master Buddha : the iconic worship of Yakushi in Heian Japan / by Yui Suzuki,,NB1912.B48 S89 2012 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.B48 S89 2012; (1 items out of 1 available)
Inseiki no butsuz? : J?ch? kara Unkei e : tokubetsu tenrankai / [hensh? Ky?to Kokuritsu Hakubutsukan],,NB1912.B83 I57 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.B83 I57 1991; (1 items out of 1 available)
Ritual and representation in Chinese Buddhism : visualizing enlightenment at Baodingshan 12th to 21st centuries / Karil J. Kucera,,NB1912.B83 K77 2016 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.B83 K77 2016; (1 items out of 1 available)
Violence and serenity : late Buddhist sculpture from Indonesia / Natasha Reichle,NB1912.B83 R44 2007 ,NB1912.B83 R44 2007 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.B83 R44 2007; (1 items out of 1 available)
"The lives of Chinese objects : Buddhism, imperialism and display / Louise Tythacott",,NB1912.B83 T97 2011 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.B83 T97 2011; (1 items out of 1 available)
"Dv?ravat?: aux sources du bouddhisme en Thaïlande : établissement public du musée des Arts asiaiques Guimet, 10 février-25 mai 2009 / catalogue réalisé sous la direction de Pierre Baptiste et Thierry Zéphir",,NB1912.G38 D83 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.G38 D83 2009; (1 items out of 1 available)
Voyage of the Emerald Buddha / Karen Schur Narula,,NB1912.G38 N37 1994 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.G38N37 1994; (1 items out of 1 available)
Shinz? : Hachiman imagery and its development / Christine Guth Kanda,,NB1912.H33 K36 1985 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.H33K36 1985; (1 items out of 1 available)
Lives of Indian images / Richard H. Davis,,NB1912.H55 D38 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.H55D38 1997; (1 items out of 1 available)
"Epic narratives in the Hoysala temples : the R?m?ya?a, Mah?bh?rata, and Bh?gavata Pur??a in Ha?eb?d, Bel?r, and Am?tapura / by Kirsti Evans",,NB1912.H55 E82 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.H55E82 1997; (1 items out of 1 available)
Une vierge en majesté / Jean-René Gaborit et Dominique Faunières,,NB1912.M37 G33 2009 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.M37 G33 2009; (1 items out of 1 available)
Worlds within : opening the medieval shrine Madonna / Elina Gertsman,,NB1912.M37 G47 2015 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1912.M37 G47 2015; (0 items out of 1 available)
The body in three dimensions / Tom Flynn,,NB1930 .F59 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1930.F59 1998; (1 items out of 1 available)
The human form divine : from the collection of Elie Borowski / by Agnès Spycket,NB1930 .H9625 2000 ,NB1930 .H9625 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1930.H9625 2000; (1 items out of 1 available)
Skul?ptory-animalisty Moskvy / V. Tikhanova,NB1940 .T57 ,NB1940 .T57 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1940.T57; (1 items out of 1 available)
Images of lust : sexual carvings on medieval churches / Anthony Weir and James Jerman,,NB1952.E76 W45 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1952.E76W45 1986; (1 items out of 1 available)
"Visualizing labor in American sculpture : monuments, manliness, and the work ethic, 1880-1935 / Melissa Dabakis",,NB1952.L33 D24 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB1952.L33D24 1999; (1 items out of 1 available)
"Sculpture '67: an open-air exhibition of Canadian sculpture. Exposition en plein air de sculptures canadiennes. Presented by the National Gallery of Canada as part of its Centennial program at the City Hall of Toronto, summer 1967. Coordination and catalogue: Dorothy Cameron; Installation: Don Wallace",NB245.C3 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB245.C3; (1 items out of 1 available)
"Robert Downing: sculpture; [catalogue of an exhibition of the work of Robert Downing held at the] Whitechapel Gallery, 10 July-24 August, 1969",,NB249.D6 A57 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB249.D6A57; (1 items out of 1 available)
Bill Reid / by Doris Shadbolt,NB249.R44 S53 1986 ,NB249.R44 S53 1986 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB249.R44S53 1986; (1 items out of 1 available)
Mexican churches / Eliot Porter and Ellen Auerbach ; essay by Donna Pierce,,NB250 .P67 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB250.P67 1999; (1 items out of 1 available)
Elizabeth Catlett : an American artist in Mexico / Melanie Anne Herzog,,NB259.C384 .H47 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB259.C384H47 2000; (1 items out of 1 available)
"L'Aleijadinho : ""le lépreux constructeur de cathédrales"" / Patrick Straumann ; photographies de Ferrante Ferranti",NB359.L5 S73 2005 ,NB359.L5 S73 2005 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB359.L5S73 2005; (1 items out of 1 available)
"Soto : a retrospective exhibition : The Solomon R. Guggenheim Museum, New York",NB439.S6S64 ,NB439.S6 S64 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB439.S6S64; (1 items out of 1 available)
"Bildwerke der christlichen Epochen von der Spätantike bis zum Klassizismus. Aus den Beständen der Skulpturenabteilung der Staatlichen Museen, Stiftung Preussicher Kulturbesitz, Berlin-Dahlem",,NB450 .B45 1966 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB450 .B45 1966; (1 items out of 1 available)
European sculpture from romanesque to neoclassic [by] H.D. Molesworth in collaboration with P. Cannon Brookes,NB450.M6 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB450.M6; (1 items out of 1 available)
"Modern European sculpture, 1918-1945 : unknown beings and other realities / Albert E. Elsen",NB458.E45 ,NB458 .E45 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB458.E45; (1 items out of 1 available)
English medieval sculpture,NB463.G27 1951 ,NB463 .G27 1951 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB463.G27 1951; (1 items out of 1 available)
Anglo Saxon sculpture / James Lang,NB463 .L36 1988  and others,NB463 .L36 1988 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB463.L36 1988; (1 items out of 1 available)
An account of medieval figure-sculpture in England : with 855 photographs / by Edward S. Prior and Arthur Gardner,,NB463 .P7 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB463.P7; (1 items out of 1 available)
Sculpture in Britain: the Middle Ages,NB463.S8 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB463.S8; (1 items out of 1 available)
"Sculpture in Britain, 1530-1830 [by] Margaret Whinney",NB464 .W5 ,NB464 .W5 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB464.W5; (1 items out of 1 available)
Public sculpture of the city of London / Philip Ward-Jackson,,NB470 .W37 2003 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB470.W37 2003; (1 items out of 1 available)
Public sculpture of Birmingham : including Sutton Coldfield / George T. Noszlopy ; edited by Jeremy Beach,,NB471.B57 N67 1998 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB471.B57N67 1998; (1 items out of 1 available)
Canterbury Cathedral and its Romanesque sculpture / Deborah Kahn,NA5471.C2 K34 1991  and others,NA5471.C2 K34 1991 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB471.C36 K34 1991b; (1 items out of 1 available)
Romanesque Lincoln : the sculpture of the cathedral / George Zarnecki.,,NB471.L5 Z28 1988  and others,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB471.L5 Z28 1988; (1 items out of 1 available)
Romanesque sculpture at Lincoln Cathedral / George Zarnecki.,NB471.L5 Z37 1970 ,NB471.L5 Z37 1970 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB471.L5 Z37 1970; (1 items out of 1 available)
"Color function painting : the art of Josef Albers, Julian Stanczak and Richard Anuszkiewicz : selections from the collection of Neil K. Rector / Essays by Floyd Ratliff and Sanford Wurmfeld",ND195 .C64 1996 ,ND195 .C64 1996 ,"Physical version at KSL Oversize 1st Floor; Kelvin Smith Library; ND195.C64 1996; (1 items out of 1 available)
Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; ND195.C64 1996; (1 items out of 1 available)"
Public sculpture of Liverpool / Terry Cavanagh,,NB471.L55 C38 1997 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB471.L55C38 1997; (1 items out of 1 available)
Façade as spectacle : ritual and ideology at Wells Cathedral / by Carolyn Marino Malone,,NB471.W44 M35 2004 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB471.W44M35 2004; (1 items out of 1 available)
"Dictionary of British sculptors, 1660-1851",NB496 .G85 1954  and others,NB496 .G85 1954 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB496.G85 1954; (1 items out of 1 available)
"Dictionary of British sculptors, 1660-1851",NB496.G85 1968 ,NB496 .G85 1968 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB496.G85 1968; (1 items out of 1 available)
Caro : close up / Julius Bryant and Martina Droth with an essay by Robert Storr,,NB497.C35 A4 2012 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB497.C35 A4 2012; (1 items out of 1 available)
Anthony Caro: [catalogue of an exhibition held at the] Hayward Gallery [24 January to 9 March 1969; with an introductory essay by Michael Fried],NB497.C35F7 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB497.C35F7; (1 items out of 1 available)
Anthony Caro / Richard Whelan ; with additional texts by Clement Greenberg ... [and others],,NB497.C35 W46 l975 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB497.C35W46 l975; (1 items out of 1 available)
Jacob Epstein / Richard Cork,NB497.E6 C67 1999 ,NB497.E6 C67 1999 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB497.E6C67 1999; (1 items out of 1 available)
Demons and angels : a life of Jacob Epstein / June Rose,,NB497.E6 R67 2002 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB497.E6R67 2002; (1 items out of 1 available)
"A cell of good living: the life, works and opinions of Eric Gill",NB497.G55A42 ,,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB497.G55A42; (1 items out of 1 available)
Wall : at Storm King / Andy Goldsworthy ; essay by Kenneth Baker ; photographs: Andy Goldsworthy and Jerry L. Thompson,NB497.G64 A4 2000 ,NB497.G64 A4 2000 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB497.G64A4 2000; (1 items out of 1 available)
A pictorial autobiography / Barbara Hepworth,NB497.H4 A2 1993 ,NB497.H4 A2 1993 ,Physical version at KSL Stacks 3rd Floor; Kelvin Smith Library; NB497.H4A2 1993; (1 items out of 1 available)
